卫星-目标对,开始时间,结束时间,持续时长(秒)
Satellite121-m14n2,6 Jun 2025 04:12:37.676,6 Jun 2025 04:21:35.448,537.772
Satellite121-m21n1,6 Jun 2025 04:04:14.755,6 Jun 2025 04:13:51.689,576.934
Satellite121-m21n2,6 Jun 2025 04:07:16.067,6 Jun 2025 04:17:16.330,600.263
Satellite121-m22n1,6 Jun 2025 04:15:13.159,6 Jun 2025 04:20:10.561,297.402
Satellite121-m27n1,6 Jun 2025 04:15:30.207,6 Jun 2025 04:17:14.171,103.964
Satellite121-m27n1,6 Jun 2025 04:23:05.876,6 Jun 2025 04:27:02.029,236.153
Satellite121-m27n2,6 Jun 2025 04:16:14.694,6 Jun 2025 04:27:36.611,681.917
Satellite121-m28n1,6 Jun 2025 04:25:27.887,6 Jun 2025 04:31:43.664,375.777
Satellite121-m2n1,6 Jun 2025 04:31:53.042,6 Jun 2025 04:35:54.146,241.104
Satellite121-m2n2,6 Jun 2025 04:34:07.384,6 Jun 2025 04:39:14.545,307.161
Satellite121-m30n1,6 Jun 2025 04:03:51.910,6 Jun 2025 04:18:06.798,854.888
Satellite121-m35n1,6 Jun 2025 04:04:28.405,6 Jun 2025 04:15:53.846,685.441
Satellite121-m35n1,6 Jun 2025 04:29:55.452,6 Jun 2025 04:39:25.708,570.256
Satellite121-m35n2,6 Jun 2025 04:07:29.661,6 Jun 2025 04:16:31.095,541.434
Satellite121-m35n2,6 Jun 2025 04:32:27.912,6 Jun 2025 04:40:36.298,488.386
Satellite121-m36n1,6 Jun 2025 04:24:14.977,6 Jun 2025 04:25:18.936,63.959
Satellite121-m36n2,6 Jun 2025 04:24:20.644,6 Jun 2025 04:26:48.517,147.873
Satellite121-m39n1,6 Jun 2025 04:18:15.118,6 Jun 2025 04:29:43.726,688.608
Satellite121-m7n1,6 Jun 2025 04:10:26.136,6 Jun 2025 04:15:41.480,315.344
Satellite121-m7n2,6 Jun 2025 04:11:40.304,6 Jun 2025 04:16:41.552,301.248
Satellite121-m8n1,6 Jun 2025 04:04:04.750,6 Jun 2025 04:06:28.675,143.925
Satellite122-m13n1,6 Jun 2025 04:08:29.081,6 Jun 2025 04:15:05.720,396.639
Satellite122-m13n1,6 Jun 2025 04:18:52.377,6 Jun 2025 04:19:49.890,57.513
Satellite122-m13n2,6 Jun 2025 04:09:24.356,6 Jun 2025 04:16:35.894,431.538
Satellite122-m13n2,6 Jun 2025 04:19:14.958,6 Jun 2025 04:20:39.092,84.134
Satellite122-m24n2,6 Jun 2025 04:12:18.106,6 Jun 2025 04:13:25.935,67.829
Satellite122-m26n1,6 Jun 2025 04:04:04.613,6 Jun 2025 04:16:44.678,760.065
Satellite122-m27n1,6 Jun 2025 04:05:09.303,6 Jun 2025 04:16:04.697,655.394
Satellite122-m27n2,6 Jun 2025 04:06:10.344,6 Jun 2025 04:16:53.430,643.086
Satellite122-m30n1,6 Jun 2025 04:03:58.469,6 Jun 2025 04:06:17.065,138.596
Satellite122-m33n1,6 Jun 2025 04:08:12.293,6 Jun 2025 04:17:38.150,565.857
Satellite122-m34n1,6 Jun 2025 04:34:14.916,6 Jun 2025 04:36:49.533,154.617
Satellite122-m34n2,6 Jun 2025 04:34:10.387,6 Jun 2025 04:37:39.091,208.704
Satellite122-m35n1,6 Jun 2025 04:04:08.559,6 Jun 2025 04:10:31.761,383.202
Satellite122-m36n1,6 Jun 2025 04:12:33.988,6 Jun 2025 04:25:07.417,753.429
Satellite122-m36n2,6 Jun 2025 04:14:33.781,6 Jun 2025 04:27:04.349,750.568
Satellite122-m37n1,6 Jun 2025 04:16:27.990,6 Jun 2025 04:21:34.533,306.543
Satellite122-m39n1,6 Jun 2025 04:05:28.941,6 Jun 2025 04:15:48.784,619.843
Satellite122-m39n1,6 Jun 2025 04:16:28.980,6 Jun 2025 04:20:09.914,220.934
Satellite122-m7n1,6 Jun 2025 04:04:06.739,6 Jun 2025 04:04:18.353,11.614
Satellite123-m13n1,6 Jun 2025 04:06:26.786,6 Jun 2025 04:09:41.713,194.927
Satellite123-m13n2,6 Jun 2025 04:07:43.137,6 Jun 2025 04:10:37.143,174.006
Satellite123-m16n1,6 Jun 2025 04:29:16.354,6 Jun 2025 04:31:25.114,128.76
Satellite123-m17n1,6 Jun 2025 04:05:52.671,6 Jun 2025 04:10:01.930,249.259
Satellite123-m17n2,6 Jun 2025 04:07:30.595,6 Jun 2025 04:10:53.496,202.901
Satellite123-m19n1,6 Jun 2025 04:04:53.287,6 Jun 2025 04:08:00.499,187.212
Satellite123-m24n2,6 Jun 2025 04:10:40.775,6 Jun 2025 04:13:24.712,163.937
Satellite123-m26n1,6 Jun 2025 04:04:21.946,6 Jun 2025 04:06:25.621,123.675
Satellite123-m27n1,6 Jun 2025 04:03:57.929,6 Jun 2025 04:05:54.556,116.627
Satellite123-m27n2,6 Jun 2025 04:05:43.126,6 Jun 2025 04:06:58.437,75.311
Satellite123-m33n1,6 Jun 2025 04:05:55.721,6 Jun 2025 04:09:28.521,212.8
Satellite123-m34n1,6 Jun 2025 04:25:17.425,6 Jun 2025 04:36:54.709,697.284
Satellite123-m34n2,6 Jun 2025 04:27:44.906,6 Jun 2025 04:37:57.720,612.814
Satellite123-m5n1,6 Jun 2025 04:07:56.857,6 Jun 2025 04:13:04.062,307.205
Satellite123-m9n1,6 Jun 2025 04:26:13.804,6 Jun 2025 04:34:13.878,480.074
Satellite123-m9n2,6 Jun 2025 04:28:38.210,6 Jun 2025 04:36:31.890,473.68
Satellite125-m13n1,6 Jun 2025 04:38:53.547,6 Jun 2025 04:40:13.176,79.629
Satellite125-m13n2,6 Jun 2025 04:39:44.564,6 Jun 2025 04:41:25.732,101.168
Satellite125-m23n1,6 Jun 2025 04:30:23.236,6 Jun 2025 04:30:50.353,27.117
Satellite125-m23n2,6 Jun 2025 04:31:49.709,6 Jun 2025 04:33:36.731,107.022
Satellite126-m10n1,6 Jun 2025 04:20:59.922,6 Jun 2025 04:21:21.519,21.597
Satellite126-m10n2,6 Jun 2025 04:20:59.036,6 Jun 2025 04:24:20.267,201.231
Satellite126-m11n1,6 Jun 2025 04:22:21.092,6 Jun 2025 04:25:30.036,188.944
Satellite126-m11n2,6 Jun 2025 04:22:59.158,6 Jun 2025 04:26:13.254,194.096
Satellite126-m13n1,6 Jun 2025 04:29:11.744,6 Jun 2025 04:33:43.070,271.326
Satellite126-m13n1,6 Jun 2025 04:36:53.473,6 Jun 2025 04:40:19.346,205.873
Satellite126-m13n2,6 Jun 2025 04:29:59.191,6 Jun 2025 04:34:36.869,277.678
Satellite126-m13n2,6 Jun 2025 04:37:24.001,6 Jun 2025 04:41:10.630,226.629
Satellite126-m14n1,6 Jun 2025 04:19:23.080,6 Jun 2025 04:19:51.912,28.832
Satellite126-m14n2,6 Jun 2025 04:20:33.805,6 Jun 2025 04:22:19.668,105.863
Satellite126-m1n1,6 Jun 2025 04:21:29.119,6 Jun 2025 04:26:29.267,300.148
Satellite126-m21n2,6 Jun 2025 04:16:52.119,6 Jun 2025 04:17:18.523,26.404
Satellite126-m22n1,6 Jun 2025 04:19:51.291,6 Jun 2025 04:22:12.985,141.694
Satellite126-m23n1,6 Jun 2025 04:21:42.096,6 Jun 2025 04:30:42.393,540.297
Satellite126-m23n2,6 Jun 2025 04:23:33.474,6 Jun 2025 04:33:05.023,571.549
Satellite126-m27n1,6 Jun 2025 04:25:55.034,6 Jun 2025 04:29:47.152,232.118
Satellite126-m27n2,6 Jun 2025 04:26:30.742,6 Jun 2025 04:30:22.259,231.517
Satellite126-m32n1,6 Jun 2025 04:13:58.961,6 Jun 2025 04:14:47.112,48.151
Satellite126-m7n1,6 Jun 2025 04:16:53.381,6 Jun 2025 04:22:18.420,325.039
Satellite126-m7n2,6 Jun 2025 04:17:00.965,6 Jun 2025 04:24:24.320,443.355
Satellite126-m8n1,6 Jun 2025 04:08:18.051,6 Jun 2025 04:11:56.306,218.255
Satellite131-m11n1,6 Jun 2025 04:08:45.056,6 Jun 2025 04:15:08.404,383.348
Satellite131-m11n2,6 Jun 2025 04:09:35.230,6 Jun 2025 04:15:40.010,364.78
Satellite131-m13n1,6 Jun 2025 04:12:08.782,6 Jun 2025 04:14:43.328,154.546
Satellite131-m13n1,6 Jun 2025 04:24:00.533,6 Jun 2025 04:24:54.217,53.684
Satellite131-m13n2,6 Jun 2025 04:12:57.161,6 Jun 2025 04:16:19.601,202.44
Satellite131-m13n2,6 Jun 2025 04:18:19.227,6 Jun 2025 04:19:50.220,90.993
Satellite131-m13n2,6 Jun 2025 04:24:42.579,6 Jun 2025 04:25:43.367,60.788
Satellite131-m27n1,6 Jun 2025 04:06:34.102,6 Jun 2025 04:12:35.728,361.626
Satellite131-m27n1,6 Jun 2025 04:13:57.711,6 Jun 2025 04:14:57.945,60.234
Satellite131-m27n1,6 Jun 2025 04:18:26.903,6 Jun 2025 04:20:14.551,107.648
Satellite131-m27n2,6 Jun 2025 04:07:34.419,6 Jun 2025 04:13:02.891,328.472
Satellite131-m27n2,6 Jun 2025 04:14:57.842,6 Jun 2025 04:20:55.377,357.535
Satellite131-m28n1,6 Jun 2025 04:20:14.320,6 Jun 2025 04:22:13.944,119.624
Satellite131-m28n1,6 Jun 2025 04:24:39.826,6 Jun 2025 04:33:21.139,521.313
Satellite131-m2n1,6 Jun 2025 04:23:31.027,6 Jun 2025 04:29:59.663,388.636
Satellite131-m2n2,6 Jun 2025 04:25:24.919,6 Jun 2025 04:27:07.508,102.589
Satellite131-m2n2,6 Jun 2025 04:30:34.271,6 Jun 2025 04:40:07.268,572.997
Satellite131-m33n1,6 Jun 2025 04:20:02.508,6 Jun 2025 04:24:11.709,249.201
Satellite131-m35n1,6 Jun 2025 04:06:13.258,6 Jun 2025 04:14:52.921,519.663
Satellite131-m35n1,6 Jun 2025 04:30:03.755,6 Jun 2025 04:40:18.529,614.774
Satellite131-m35n2,6 Jun 2025 04:08:17.206,6 Jun 2025 04:17:11.737,534.531
Satellite131-m35n2,6 Jun 2025 04:30:58.911,6 Jun 2025 04:38:45.520,466.609
Satellite131-m36n1,6 Jun 2025 04:16:05.632,6 Jun 2025 04:20:49.380,283.748
Satellite131-m36n2,6 Jun 2025 04:16:55.900,6 Jun 2025 04:21:36.651,280.751
Satellite131-m37n1,6 Jun 2025 04:20:08.583,6 Jun 2025 04:24:08.721,240.138
Satellite131-m39n1,6 Jun 2025 04:05:58.081,6 Jun 2025 04:18:47.421,769.34
Satellite131-m39n1,6 Jun 2025 04:25:07.321,6 Jun 2025 04:36:19.787,672.466
Satellite131-m5n1,6 Jun 2025 04:23:49.485,6 Jun 2025 04:27:21.729,212.244
Satellite132-m13n1,6 Jun 2025 04:03:41.607,6 Jun 2025 04:13:24.665,583.058
Satellite132-m13n2,6 Jun 2025 04:05:35.382,6 Jun 2025 04:14:03.643,508.261
Satellite132-m16n1,6 Jun 2025 04:22:31.402,6 Jun 2025 04:31:05.096,513.694
Satellite132-m17n1,6 Jun 2025 04:04:01.726,6 Jun 2025 04:10:34.763,393.037
Satellite132-m17n1,6 Jun 2025 04:14:26.242,6 Jun 2025 04:21:38.955,432.713
Satellite132-m17n2,6 Jun 2025 04:05:37.905,6 Jun 2025 04:10:33.036,295.131
Satellite132-m17n2,6 Jun 2025 04:15:15.162,6 Jun 2025 04:22:01.587,406.425
Satellite132-m19n1,6 Jun 2025 04:03:59.936,6 Jun 2025 04:07:25.559,205.623
Satellite132-m19n1,6 Jun 2025 04:12:52.449,6 Jun 2025 04:19:35.821,403.372
Satellite132-m24n1,6 Jun 2025 04:04:46.349,6 Jun 2025 04:09:30.705,284.356
Satellite132-m24n2,6 Jun 2025 04:06:59.058,6 Jun 2025 04:12:04.793,305.735
Satellite132-m26n1,6 Jun 2025 04:07:18.234,6 Jun 2025 04:19:21.236,723.002
Satellite132-m27n1,6 Jun 2025 04:03:36.085,6 Jun 2025 04:07:06.922,210.837
Satellite132-m27n2,6 Jun 2025 04:05:32.186,6 Jun 2025 04:07:32.885,120.699
Satellite132-m28n1,6 Jun 2025 04:13:49.815,6 Jun 2025 04:17:53.445,243.63
Satellite132-m33n1,6 Jun 2025 04:03:54.266,6 Jun 2025 04:20:10.758,976.492
Satellite132-m34n1,6 Jun 2025 04:12:51.227,6 Jun 2025 04:16:11.574,200.347
Satellite132-m34n1,6 Jun 2025 04:25:41.771,6 Jun 2025 04:30:50.560,308.789
Satellite132-m34n2,6 Jun 2025 04:11:58.623,6 Jun 2025 04:17:26.725,328.102
Satellite132-m34n2,6 Jun 2025 04:26:21.823,6 Jun 2025 04:32:19.935,358.112
Satellite132-m36n1,6 Jun 2025 04:05:43.354,6 Jun 2025 04:17:45.275,721.921
Satellite132-m36n2,6 Jun 2025 04:07:05.846,6 Jun 2025 04:18:28.582,682.736
Satellite132-m37n1,6 Jun 2025 04:08:05.971,6 Jun 2025 04:20:25.573,739.602
Satellite132-m3n1,6 Jun 2025 04:07:09.338,6 Jun 2025 04:15:53.584,524.246
Satellite132-m3n1,6 Jun 2025 04:25:40.516,6 Jun 2025 04:35:27.675,587.159
Satellite132-m3n2,6 Jun 2025 04:16:31.890,6 Jun 2025 04:20:33.485,241.595
Satellite132-m3n2,6 Jun 2025 04:24:48.873,6 Jun 2025 04:36:17.664,688.791
Satellite132-m5n1,6 Jun 2025 04:07:12.043,6 Jun 2025 04:24:44.371,1052.328
Satellite132-m9n1,6 Jun 2025 04:15:16.156,6 Jun 2025 04:20:57.221,341.065
Satellite132-m9n1,6 Jun 2025 04:21:48.381,6 Jun 2025 04:32:57.702,669.321
Satellite132-m9n2,6 Jun 2025 04:13:57.772,6 Jun 2025 04:19:10.607,312.835
Satellite132-m9n2,6 Jun 2025 04:25:47.439,6 Jun 2025 04:35:26.283,578.844
Satellite133-m16n1,6 Jun 2025 04:09:59.405,6 Jun 2025 04:25:56.086,956.681
Satellite133-m34n1,6 Jun 2025 04:03:26.247,6 Jun 2025 04:16:29.631,783.384
Satellite133-m34n2,6 Jun 2025 04:05:25.550,6 Jun 2025 04:15:37.963,612.413
Satellite133-m36n1,6 Jun 2025 04:03:26.774,6 Jun 2025 04:03:31.264,4.49
Satellite133-m37n1,6 Jun 2025 04:06:13.696,6 Jun 2025 04:09:46.045,212.349
Satellite133-m40n1,6 Jun 2025 04:04:28.409,6 Jun 2025 04:18:24.640,836.231
Satellite133-m9n1,6 Jun 2025 04:03:36.258,6 Jun 2025 04:19:22.743,946.485
Satellite133-m9n2,6 Jun 2025 04:05:30.713,6 Jun 2025 04:18:05.050,754.337
Satellite136-m11n1,6 Jun 2025 04:14:03.517,6 Jun 2025 04:22:54.422,530.905
Satellite136-m11n2,6 Jun 2025 04:13:43.157,6 Jun 2025 04:24:26.283,643.126
Satellite136-m13n1,6 Jun 2025 04:25:15.711,6 Jun 2025 04:33:05.752,470.041
Satellite136-m13n2,6 Jun 2025 04:25:37.681,6 Jun 2025 04:34:16.032,518.351
Satellite136-m27n1,6 Jun 2025 04:19:44.807,6 Jun 2025 04:29:01.397,556.59
Satellite136-m27n2,6 Jun 2025 04:20:00.139,6 Jun 2025 04:29:52.652,592.513
Satellite136-m28n1,6 Jun 2025 04:31:40.677,6 Jun 2025 04:34:15.162,154.485
Satellite136-m2n2,6 Jun 2025 04:38:13.360,6 Jun 2025 04:40:05.205,111.845
Satellite136-m35n2,6 Jun 2025 04:35:09.536,6 Jun 2025 04:39:12.883,243.347
Satellite141-m13n1,6 Jun 2025 04:04:57.841,6 Jun 2025 04:05:39.512,41.671
Satellite141-m13n1,6 Jun 2025 04:11:31.566,6 Jun 2025 04:14:06.764,155.198
Satellite141-m13n1,6 Jun 2025 04:17:00.956,6 Jun 2025 04:19:07.936,126.98
Satellite141-m13n2,6 Jun 2025 04:12:17.553,6 Jun 2025 04:19:47.852,450.299
Satellite141-m17n1,6 Jun 2025 04:03:45.483,6 Jun 2025 04:19:20.946,935.463
Satellite141-m17n2,6 Jun 2025 04:05:48.330,6 Jun 2025 04:18:24.528,756.198
Satellite141-m19n1,6 Jun 2025 04:03:46.687,6 Jun 2025 04:20:32.875,1006.188
Satellite141-m26n1,6 Jun 2025 04:07:41.675,6 Jun 2025 04:18:08.052,626.377
Satellite141-m27n1,6 Jun 2025 04:06:03.672,6 Jun 2025 04:11:35.739,332.067
Satellite141-m27n2,6 Jun 2025 04:07:45.748,6 Jun 2025 04:12:35.390,289.642
Satellite141-m28n1,6 Jun 2025 04:15:04.115,6 Jun 2025 04:16:44.725,100.61
Satellite141-m28n1,6 Jun 2025 04:24:10.876,6 Jun 2025 04:26:47.547,156.671
Satellite141-m2n1,6 Jun 2025 04:17:50.390,6 Jun 2025 04:19:31.126,100.736
Satellite141-m2n1,6 Jun 2025 04:22:59.339,6 Jun 2025 04:29:53.472,414.133
Satellite141-m2n2,6 Jun 2025 04:19:18.644,6 Jun 2025 04:20:18.720,60.076
Satellite141-m2n2,6 Jun 2025 04:29:19.966,6 Jun 2025 04:31:23.453,123.487
Satellite141-m30n1,6 Jun 2025 04:21:14.573,6 Jun 2025 04:22:40.302,85.729
Satellite141-m36n1,6 Jun 2025 04:10:02.206,6 Jun 2025 04:14:59.967,297.761
Satellite141-m36n1,6 Jun 2025 04:17:24.782,6 Jun 2025 04:22:09.512,284.73
Satellite141-m36n2,6 Jun 2025 04:11:04.097,6 Jun 2025 04:15:46.044,281.947
Satellite141-m36n2,6 Jun 2025 04:18:28.747,6 Jun 2025 04:23:05.602,276.855
Satellite141-m37n1,6 Jun 2025 04:11:39.306,6 Jun 2025 04:21:24.881,585.575
Satellite141-m39n1,6 Jun 2025 04:14:41.366,6 Jun 2025 04:36:17.740,1296.374
Satellite141-m3n1,6 Jun 2025 04:07:36.784,6 Jun 2025 04:17:57.904,621.12
Satellite141-m3n2,6 Jun 2025 04:07:05.454,6 Jun 2025 04:19:38.816,753.362
Satellite141-m5n1,6 Jun 2025 04:03:34.145,6 Jun 2025 04:22:17.893,1123.748
Satellite142-m12n1,6 Jun 2025 04:04:11.599,6 Jun 2025 04:06:46.982,155.383
Satellite142-m14n1,6 Jun 2025 04:04:02.850,6 Jun 2025 04:08:26.295,263.445
Satellite142-m14n2,6 Jun 2025 04:06:40.420,6 Jun 2025 04:10:56.168,255.748
Satellite142-m15n1,6 Jun 2025 04:04:59.522,6 Jun 2025 04:17:10.433,730.911
Satellite142-m15n2,6 Jun 2025 04:07:41.486,6 Jun 2025 04:20:43.048,781.562
Satellite142-m16n1,6 Jun 2025 04:07:56.239,6 Jun 2025 04:15:58.285,482.046
Satellite142-m1n1,6 Jun 2025 04:05:43.710,6 Jun 2025 04:14:43.017,539.307
Satellite142-m20n1,6 Jun 2025 04:07:39.090,6 Jun 2025 04:11:30.772,231.682
