卫星对,开始时间,结束时间
Satellite1-Satellite125,7 Jun 2025 00:06:06.419,7 Jun 2025 00:07:43.331,96.912
Satellite1-Satellite125,7 Jun 2025 01:04:06.978,7 Jun 2025 01:05:43.883,96.905
Satellite1-Satellite125,7 Jun 2025 02:02:07.530,7 Jun 2025 02:03:44.442,96.912
Satellite1-Satellite125,7 Jun 2025 03:00:08.085,7 Jun 2025 03:01:44.996,96.911
Satellite1-Satellite125,7 Jun 2025 03:58:08.642,7 Jun 2025 03:59:45.553,96.911
Satellite1-Satellite126,6 Jun 2025 04:00:00.000,7 Jun 2025 04:00:00.000,86400.0
Satellite1-Satellite131,6 Jun 2025 04:16:18.166,6 Jun 2025 04:35:15.625,1137.459
Satellite1-Satellite131,6 Jun 2025 05:14:18.726,6 Jun 2025 05:33:16.182,1137.456
Satellite1-Satellite131,6 Jun 2025 06:12:19.277,6 Jun 2025 06:31:16.741,1137.464
Satellite1-Satellite131,6 Jun 2025 07:10:19.833,6 Jun 2025 07:29:17.292,1137.459
Satellite1-Satellite131,6 Jun 2025 08:08:20.393,6 Jun 2025 08:27:17.852,1137.459
Satellite1-Satellite131,6 Jun 2025 09:06:20.944,6 Jun 2025 09:25:18.407,1137.463
Satellite1-Satellite131,6 Jun 2025 10:04:21.499,6 Jun 2025 10:23:18.958,1137.459
Satellite1-Satellite131,6 Jun 2025 11:02:22.059,6 Jun 2025 11:21:19.514,1137.455
Satellite1-Satellite131,6 Jun 2025 12:00:22.610,6 Jun 2025 12:19:20.074,1137.464
Satellite1-Satellite131,6 Jun 2025 12:58:23.165,6 Jun 2025 13:17:20.625,1137.46
Satellite1-Satellite131,6 Jun 2025 13:56:23.725,6 Jun 2025 14:15:21.181,1137.456
Satellite1-Satellite131,6 Jun 2025 14:54:24.276,6 Jun 2025 15:13:21.735,1137.459
Satellite1-Satellite131,6 Jun 2025 15:52:24.837,6 Jun 2025 16:11:22.296,1137.459
Satellite1-Satellite131,6 Jun 2025 16:50:25.387,6 Jun 2025 17:09:22.846,1137.459
Satellite1-Satellite131,6 Jun 2025 17:48:25.947,6 Jun 2025 18:07:23.404,1137.457
Satellite1-Satellite131,6 Jun 2025 18:46:26.499,6 Jun 2025 19:05:23.962,1137.463
Satellite1-Satellite131,6 Jun 2025 19:44:27.054,6 Jun 2025 20:03:24.513,1137.459
Satellite1-Satellite131,6 Jun 2025 20:42:27.614,6 Jun 2025 21:01:25.073,1137.459
Satellite1-Satellite131,6 Jun 2025 21:40:28.165,6 Jun 2025 21:59:25.629,1137.464
Satellite1-Satellite131,6 Jun 2025 22:38:28.720,6 Jun 2025 22:57:26.179,1137.459
Satellite1-Satellite131,6 Jun 2025 23:36:29.280,6 Jun 2025 23:55:26.735,1137.455
Satellite1-Satellite131,7 Jun 2025 00:34:29.831,7 Jun 2025 00:53:27.290,1137.459
Satellite1-Satellite131,7 Jun 2025 01:32:30.391,7 Jun 2025 01:51:27.849,1137.458
Satellite1-Satellite131,7 Jun 2025 02:30:30.942,7 Jun 2025 02:49:28.401,1137.459
Satellite1-Satellite131,7 Jun 2025 03:28:31.502,7 Jun 2025 03:47:28.959,1137.457
Satellite1-Satellite134,6 Jun 2025 04:00:00.000,6 Jun 2025 04:06:40.635,400.635
Satellite1-Satellite134,6 Jun 2025 04:44:53.162,6 Jun 2025 05:04:41.189,1188.027
Satellite1-Satellite134,6 Jun 2025 05:42:53.718,6 Jun 2025 06:02:41.749,1188.031
Satellite1-Satellite134,6 Jun 2025 06:40:54.270,6 Jun 2025 07:00:42.305,1188.035
Satellite1-Satellite134,6 Jun 2025 07:38:54.827,6 Jun 2025 07:58:42.860,1188.033
Satellite1-Satellite134,6 Jun 2025 08:36:55.380,6 Jun 2025 08:56:43.412,1188.032
Satellite1-Satellite134,6 Jun 2025 09:34:55.935,6 Jun 2025 09:54:43.971,1188.036
Satellite1-Satellite134,6 Jun 2025 10:32:56.491,6 Jun 2025 10:52:44.522,1188.031
Satellite1-Satellite134,6 Jun 2025 11:30:57.049,6 Jun 2025 11:50:45.082,1188.033
Satellite1-Satellite134,6 Jun 2025 12:28:57.602,6 Jun 2025 12:48:45.638,1188.036
Satellite1-Satellite134,6 Jun 2025 13:26:58.158,6 Jun 2025 13:46:46.193,1188.035
Satellite1-Satellite134,6 Jun 2025 14:24:58.713,6 Jun 2025 14:44:46.747,1188.034
Satellite1-Satellite134,6 Jun 2025 15:22:59.268,6 Jun 2025 15:42:47.304,1188.036
Satellite1-Satellite134,6 Jun 2025 16:20:59.823,6 Jun 2025 16:40:47.860,1188.037
Satellite1-Satellite134,6 Jun 2025 17:19:00.384,6 Jun 2025 17:38:48.410,1188.026
Satellite1-Satellite134,6 Jun 2025 18:17:00.938,6 Jun 2025 18:36:48.971,1188.033
Satellite1-Satellite134,6 Jun 2025 19:15:01.491,6 Jun 2025 19:34:49.526,1188.035
Satellite1-Satellite134,6 Jun 2025 20:13:02.047,6 Jun 2025 20:32:50.082,1188.035
Satellite1-Satellite134,6 Jun 2025 21:11:02.601,6 Jun 2025 21:30:50.633,1188.032
Satellite1-Satellite134,6 Jun 2025 22:09:03.156,6 Jun 2025 22:28:51.192,1188.036
Satellite1-Satellite134,6 Jun 2025 23:07:03.712,6 Jun 2025 23:26:51.743,1188.031
Satellite1-Satellite134,7 Jun 2025 00:05:04.270,7 Jun 2025 00:24:52.303,1188.033
Satellite1-Satellite134,7 Jun 2025 01:03:04.823,7 Jun 2025 01:22:52.859,1188.036
Satellite1-Satellite134,7 Jun 2025 02:01:05.379,7 Jun 2025 02:20:53.414,1188.035
Satellite1-Satellite134,7 Jun 2025 02:59:05.934,7 Jun 2025 03:18:53.968,1188.034
Satellite1-Satellite134,7 Jun 2025 03:57:06.489,7 Jun 2025 04:00:00.000,173.511
Satellite1-Satellite135,6 Jun 2025 04:00:00.000,6 Jun 2025 04:02:05.046,125.046
Satellite1-Satellite135,6 Jun 2025 04:30:08.565,6 Jun 2025 05:00:05.600,1797.035
Satellite1-Satellite135,6 Jun 2025 05:28:09.120,6 Jun 2025 05:58:06.154,1797.034
Satellite1-Satellite135,6 Jun 2025 06:26:09.678,6 Jun 2025 06:56:06.710,1797.032
Satellite1-Satellite135,6 Jun 2025 07:24:10.235,6 Jun 2025 07:54:07.268,1797.033
Satellite1-Satellite135,6 Jun 2025 08:22:10.786,6 Jun 2025 08:52:07.820,1797.034
Satellite1-Satellite135,6 Jun 2025 09:20:11.342,6 Jun 2025 09:50:08.376,1797.034
Satellite1-Satellite135,6 Jun 2025 10:18:11.900,6 Jun 2025 10:48:08.932,1797.032
Satellite1-Satellite135,6 Jun 2025 11:16:12.457,6 Jun 2025 11:46:09.490,1797.033
Satellite1-Satellite135,6 Jun 2025 12:14:13.008,6 Jun 2025 12:44:10.043,1797.035
Satellite1-Satellite135,6 Jun 2025 13:12:13.564,6 Jun 2025 13:42:10.598,1797.034
Satellite1-Satellite135,6 Jun 2025 14:10:14.122,6 Jun 2025 14:40:11.154,1797.032
Satellite1-Satellite135,6 Jun 2025 15:08:14.679,6 Jun 2025 15:38:11.712,1797.033
Satellite1-Satellite135,6 Jun 2025 16:06:15.230,6 Jun 2025 16:36:12.265,1797.035
Satellite1-Satellite135,6 Jun 2025 17:04:15.786,6 Jun 2025 17:34:12.820,1797.034
Satellite1-Satellite135,6 Jun 2025 18:02:16.344,6 Jun 2025 18:32:13.376,1797.032
Satellite1-Satellite135,6 Jun 2025 19:00:16.901,6 Jun 2025 19:30:13.934,1797.033
Satellite1-Satellite135,6 Jun 2025 19:58:17.452,6 Jun 2025 20:28:14.487,1797.035
Satellite1-Satellite135,6 Jun 2025 20:56:18.008,6 Jun 2025 21:26:15.041,1797.033
Satellite1-Satellite135,6 Jun 2025 21:54:18.566,6 Jun 2025 22:24:15.598,1797.032
Satellite1-Satellite135,6 Jun 2025 22:52:19.123,6 Jun 2025 23:22:16.156,1797.033
Satellite1-Satellite135,6 Jun 2025 23:50:19.673,7 Jun 2025 00:20:16.708,1797.035
Satellite1-Satellite135,7 Jun 2025 00:48:20.230,7 Jun 2025 01:18:17.263,1797.033
Satellite1-Satellite135,7 Jun 2025 01:46:20.788,7 Jun 2025 02:16:17.820,1797.032
Satellite1-Satellite135,7 Jun 2025 02:44:21.344,7 Jun 2025 03:14:18.378,1797.034
Satellite1-Satellite135,7 Jun 2025 03:42:21.895,7 Jun 2025 04:00:00.000,1058.105
Satellite1-Satellite136,6 Jun 2025 04:20:40.679,6 Jun 2025 04:50:13.301,1772.622
Satellite1-Satellite136,6 Jun 2025 05:18:41.232,6 Jun 2025 05:48:13.859,1772.627
Satellite1-Satellite136,6 Jun 2025 06:16:41.787,6 Jun 2025 06:46:14.417,1772.63
Satellite1-Satellite136,6 Jun 2025 07:14:42.342,6 Jun 2025 07:44:14.972,1772.63
Satellite1-Satellite136,6 Jun 2025 08:12:42.897,6 Jun 2025 08:42:15.528,1772.631
Satellite1-Satellite136,6 Jun 2025 09:10:43.453,6 Jun 2025 09:40:16.083,1772.63
Satellite1-Satellite136,6 Jun 2025 10:08:44.008,6 Jun 2025 10:38:16.639,1772.631
Satellite1-Satellite136,6 Jun 2025 11:06:44.564,6 Jun 2025 11:36:17.194,1772.63
Satellite1-Satellite136,6 Jun 2025 12:04:45.119,6 Jun 2025 12:34:17.749,1772.63
Satellite1-Satellite136,6 Jun 2025 13:02:45.675,6 Jun 2025 13:32:18.305,1772.63
Satellite1-Satellite136,6 Jun 2025 14:00:46.230,6 Jun 2025 14:30:18.860,1772.63
Satellite1-Satellite136,6 Jun 2025 14:58:46.786,6 Jun 2025 15:28:19.416,1772.63
Satellite1-Satellite136,6 Jun 2025 15:56:47.341,6 Jun 2025 16:26:19.971,1772.63
Satellite1-Satellite136,6 Jun 2025 16:54:47.897,6 Jun 2025 17:24:20.527,1772.63
Satellite1-Satellite136,6 Jun 2025 17:52:48.452,6 Jun 2025 18:22:21.082,1772.63
Satellite1-Satellite136,6 Jun 2025 18:50:49.008,6 Jun 2025 19:20:21.638,1772.63
Satellite1-Satellite136,6 Jun 2025 19:48:49.563,6 Jun 2025 20:18:22.193,1772.63
Satellite1-Satellite136,6 Jun 2025 20:46:50.119,6 Jun 2025 21:16:22.749,1772.63
Satellite1-Satellite136,6 Jun 2025 21:44:50.674,6 Jun 2025 22:14:23.304,1772.63
Satellite1-Satellite136,6 Jun 2025 22:42:51.230,6 Jun 2025 23:12:23.860,1772.63
Satellite1-Satellite136,6 Jun 2025 23:40:51.785,7 Jun 2025 00:10:24.415,1772.63
Satellite1-Satellite136,7 Jun 2025 00:38:52.341,7 Jun 2025 01:08:24.971,1772.63
Satellite1-Satellite136,7 Jun 2025 01:36:52.896,7 Jun 2025 02:06:25.526,1772.63
Satellite1-Satellite136,7 Jun 2025 02:34:53.451,7 Jun 2025 03:04:26.082,1772.631
Satellite1-Satellite136,7 Jun 2025 03:32:54.007,7 Jun 2025 04:00:00.000,1625.993
Satellite1-Satellite141,6 Jun 2025 04:15:07.350,6 Jun 2025 04:33:13.079,1085.729
Satellite1-Satellite141,6 Jun 2025 05:13:07.906,6 Jun 2025 05:31:13.637,1085.731
Satellite1-Satellite141,6 Jun 2025 06:11:08.461,6 Jun 2025 06:29:14.193,1085.732
Satellite1-Satellite141,6 Jun 2025 07:09:09.016,6 Jun 2025 07:27:14.745,1085.729
Satellite1-Satellite141,6 Jun 2025 08:07:09.573,6 Jun 2025 08:25:15.304,1085.731
Satellite1-Satellite141,6 Jun 2025 09:05:10.128,6 Jun 2025 09:23:15.859,1085.731
Satellite1-Satellite141,6 Jun 2025 10:03:10.683,6 Jun 2025 10:21:16.415,1085.732
Satellite1-Satellite141,6 Jun 2025 11:01:11.242,6 Jun 2025 11:19:16.970,1085.728
Satellite1-Satellite141,6 Jun 2025 11:59:11.797,6 Jun 2025 12:17:17.526,1085.729
Satellite1-Satellite141,6 Jun 2025 12:57:12.354,6 Jun 2025 13:15:18.076,1085.722
Satellite1-Satellite141,6 Jun 2025 13:55:12.909,6 Jun 2025 14:13:18.634,1085.725
Satellite1-Satellite141,6 Jun 2025 14:53:13.460,6 Jun 2025 15:11:19.189,1085.729
Satellite1-Satellite141,6 Jun 2025 15:51:14.016,6 Jun 2025 16:09:19.748,1085.732
Satellite1-Satellite141,6 Jun 2025 16:49:14.571,6 Jun 2025 17:07:20.299,1085.728
Satellite1-Satellite141,6 Jun 2025 17:47:15.127,6 Jun 2025 18:05:20.857,1085.73
Satellite1-Satellite141,6 Jun 2025 18:45:15.686,6 Jun 2025 19:03:21.414,1085.728
Satellite1-Satellite141,6 Jun 2025 19:43:16.238,6 Jun 2025 20:01:21.969,1085.731
Satellite1-Satellite141,6 Jun 2025 20:41:16.795,6 Jun 2025 20:59:22.525,1085.73
Satellite1-Satellite141,6 Jun 2025 21:39:17.351,6 Jun 2025 21:57:23.080,1085.729
Satellite1-Satellite141,6 Jun 2025 22:37:17.909,6 Jun 2025 22:55:23.636,1085.727
Satellite1-Satellite141,6 Jun 2025 23:35:18.464,6 Jun 2025 23:53:24.187,1085.723
Satellite1-Satellite141,7 Jun 2025 00:33:19.015,7 Jun 2025 00:51:24.744,1085.729
Satellite1-Satellite141,7 Jun 2025 01:31:19.571,7 Jun 2025 01:49:25.300,1085.729
Satellite1-Satellite141,7 Jun 2025 02:29:20.126,7 Jun 2025 02:47:25.858,1085.732
Satellite1-Satellite141,7 Jun 2025 03:27:20.681,7 Jun 2025 03:45:26.409,1085.728
Satellite1-Satellite142,6 Jun 2025 04:03:32.253,6 Jun 2025 04:25:27.990,1315.737
Satellite1-Satellite142,6 Jun 2025 05:01:32.808,6 Jun 2025 05:23:28.546,1315.738
Satellite1-Satellite142,6 Jun 2025 05:59:33.364,6 Jun 2025 06:21:29.103,1315.739
Satellite1-Satellite142,6 Jun 2025 06:57:33.919,6 Jun 2025 07:19:29.660,1315.741
Satellite1-Satellite142,6 Jun 2025 07:55:34.475,6 Jun 2025 08:17:30.215,1315.74
Satellite1-Satellite142,6 Jun 2025 08:53:35.030,6 Jun 2025 09:15:30.771,1315.741
Satellite1-Satellite142,6 Jun 2025 09:51:35.586,6 Jun 2025 10:13:31.327,1315.741
Satellite1-Satellite142,6 Jun 2025 10:49:36.142,6 Jun 2025 11:11:31.882,1315.74
Satellite1-Satellite142,6 Jun 2025 11:47:36.698,6 Jun 2025 12:09:32.438,1315.74
Satellite1-Satellite142,6 Jun 2025 12:45:37.253,6 Jun 2025 13:07:32.993,1315.74
Satellite1-Satellite142,6 Jun 2025 13:43:37.809,6 Jun 2025 14:05:33.548,1315.739
Satellite1-Satellite142,6 Jun 2025 14:41:38.364,6 Jun 2025 15:03:34.104,1315.74
Satellite1-Satellite142,6 Jun 2025 15:39:38.920,6 Jun 2025 16:01:34.659,1315.739
Satellite1-Satellite142,6 Jun 2025 16:37:39.475,6 Jun 2025 16:59:35.215,1315.74
Satellite1-Satellite142,6 Jun 2025 17:35:40.031,6 Jun 2025 17:57:35.770,1315.739
Satellite1-Satellite142,6 Jun 2025 18:33:40.586,6 Jun 2025 18:55:36.326,1315.74
Satellite1-Satellite142,6 Jun 2025 19:31:41.142,6 Jun 2025 19:53:36.881,1315.739
Satellite1-Satellite142,6 Jun 2025 20:29:41.697,6 Jun 2025 20:51:37.437,1315.74
Satellite1-Satellite142,6 Jun 2025 21:27:42.253,6 Jun 2025 21:49:37.992,1315.739
Satellite1-Satellite142,6 Jun 2025 22:25:42.808,6 Jun 2025 22:47:38.548,1315.74
Satellite1-Satellite142,6 Jun 2025 23:23:43.364,6 Jun 2025 23:45:39.103,1315.739
Satellite1-Satellite142,7 Jun 2025 00:21:43.919,7 Jun 2025 00:43:39.659,1315.74
Satellite1-Satellite142,7 Jun 2025 01:19:44.475,7 Jun 2025 01:41:40.214,1315.739
Satellite1-Satellite142,7 Jun 2025 02:17:45.030,7 Jun 2025 02:39:40.770,1315.74
Satellite1-Satellite142,7 Jun 2025 03:15:45.585,7 Jun 2025 03:37:41.325,1315.74
Satellite1-Satellite143,6 Jun 2025 04:00:00.000,6 Jun 2025 04:17:34.464,1054.464
Satellite1-Satellite143,6 Jun 2025 04:50:06.153,6 Jun 2025 05:15:35.020,1528.867
Satellite1-Satellite143,6 Jun 2025 05:48:06.704,6 Jun 2025 06:13:35.579,1528.875
Satellite1-Satellite143,6 Jun 2025 06:46:07.264,6 Jun 2025 07:11:36.130,1528.866
Satellite1-Satellite143,6 Jun 2025 07:44:07.818,6 Jun 2025 08:09:36.690,1528.872
Satellite1-Satellite143,6 Jun 2025 08:42:08.371,6 Jun 2025 09:07:37.245,1528.874
Satellite1-Satellite143,6 Jun 2025 09:40:08.931,6 Jun 2025 10:05:37.797,1528.866
Satellite1-Satellite143,6 Jun 2025 10:38:09.482,6 Jun 2025 11:03:38.357,1528.875
Satellite1-Satellite143,6 Jun 2025 11:36:10.041,6 Jun 2025 12:01:38.908,1528.867
Satellite1-Satellite143,6 Jun 2025 12:34:10.597,6 Jun 2025 12:59:39.467,1528.87
Satellite1-Satellite143,6 Jun 2025 13:32:11.148,6 Jun 2025 13:57:40.023,1528.875
Satellite1-Satellite143,6 Jun 2025 14:30:11.708,6 Jun 2025 14:55:40.574,1528.866
Satellite1-Satellite143,6 Jun 2025 15:28:12.261,6 Jun 2025 15:53:41.134,1528.873
Satellite1-Satellite143,6 Jun 2025 16:26:12.819,6 Jun 2025 16:51:41.685,1528.866
Satellite1-Satellite143,6 Jun 2025 17:24:13.375,6 Jun 2025 17:49:42.245,1528.87
Satellite1-Satellite143,6 Jun 2025 18:22:13.926,6 Jun 2025 18:47:42.800,1528.874
Satellite1-Satellite143,6 Jun 2025 19:20:14.485,6 Jun 2025 19:45:43.352,1528.867
Satellite1-Satellite143,6 Jun 2025 20:18:15.039,6 Jun 2025 20:43:43.911,1528.872
Satellite1-Satellite143,6 Jun 2025 21:16:15.596,6 Jun 2025 21:41:44.462,1528.866
Satellite1-Satellite143,6 Jun 2025 22:14:16.152,6 Jun 2025 22:39:45.022,1528.87
Satellite1-Satellite143,6 Jun 2025 23:12:16.703,6 Jun 2025 23:37:45.578,1528.875
Satellite1-Satellite143,7 Jun 2025 00:10:17.263,7 Jun 2025 00:35:46.129,1528.866
Satellite1-Satellite143,7 Jun 2025 01:08:17.816,7 Jun 2025 01:33:46.689,1528.873
Satellite1-Satellite143,7 Jun 2025 02:06:18.373,7 Jun 2025 02:31:47.240,1528.867
Satellite1-Satellite143,7 Jun 2025 03:04:18.930,7 Jun 2025 03:29:47.799,1528.869
Satellite1-Satellite144,6 Jun 2025 04:00:00.000,6 Jun 2025 04:07:54.368,474.368
Satellite1-Satellite144,6 Jun 2025 04:40:26.061,6 Jun 2025 05:05:54.927,1528.866
Satellite1-Satellite144,6 Jun 2025 05:38:26.615,6 Jun 2025 06:03:55.482,1528.867
Satellite1-Satellite144,6 Jun 2025 06:36:27.175,6 Jun 2025 07:01:56.035,1528.86
Satellite1-Satellite144,6 Jun 2025 07:34:27.726,6 Jun 2025 07:59:56.594,1528.868
Satellite1-Satellite144,6 Jun 2025 08:32:28.286,6 Jun 2025 08:57:57.145,1528.859
Satellite1-Satellite144,6 Jun 2025 09:30:28.841,6 Jun 2025 09:55:57.705,1528.864
Satellite1-Satellite144,6 Jun 2025 10:28:29.393,6 Jun 2025 10:53:58.261,1528.868
Satellite1-Satellite144,6 Jun 2025 11:26:29.952,6 Jun 2025 11:51:58.812,1528.86
Satellite1-Satellite144,6 Jun 2025 12:24:30.505,6 Jun 2025 12:49:59.372,1528.867
Satellite1-Satellite144,6 Jun 2025 13:22:31.063,6 Jun 2025 13:47:59.923,1528.86
Satellite1-Satellite144,6 Jun 2025 14:20:31.619,6 Jun 2025 14:46:00.482,1528.863
Satellite1-Satellite144,6 Jun 2025 15:18:32.170,6 Jun 2025 15:44:01.038,1528.868
Satellite1-Satellite144,6 Jun 2025 16:16:32.730,6 Jun 2025 16:42:01.589,1528.859
Satellite1-Satellite144,6 Jun 2025 17:14:33.283,6 Jun 2025 17:40:02.149,1528.866
Satellite1-Satellite144,6 Jun 2025 18:12:33.840,6 Jun 2025 18:38:02.700,1528.86
Satellite1-Satellite144,6 Jun 2025 19:10:34.396,6 Jun 2025 19:36:03.260,1528.864
Satellite1-Satellite144,6 Jun 2025 20:08:34.947,6 Jun 2025 20:34:03.815,1528.868
Satellite1-Satellite144,6 Jun 2025 21:06:35.507,6 Jun 2025 21:32:04.367,1528.86
Satellite1-Satellite144,6 Jun 2025 22:04:36.061,6 Jun 2025 22:30:04.926,1528.865
Satellite1-Satellite144,6 Jun 2025 23:02:36.618,6 Jun 2025 23:28:05.477,1528.859
Satellite1-Satellite144,7 Jun 2025 00:00:37.174,7 Jun 2025 00:26:06.037,1528.863
Satellite1-Satellite144,7 Jun 2025 00:58:37.725,7 Jun 2025 01:24:06.593,1528.868
Satellite1-Satellite144,7 Jun 2025 01:56:38.284,7 Jun 2025 02:22:07.144,1528.86
Satellite1-Satellite144,7 Jun 2025 02:54:38.838,7 Jun 2025 03:20:07.704,1528.866
Satellite1-Satellite144,7 Jun 2025 03:52:39.395,7 Jun 2025 04:00:00.000,440.605
Satellite1-Satellite145,6 Jun 2025 04:32:32.542,6 Jun 2025 04:54:28.265,1315.723
Satellite1-Satellite145,6 Jun 2025 05:30:33.096,6 Jun 2025 05:52:28.820,1315.724
Satellite1-Satellite145,6 Jun 2025 06:28:33.649,6 Jun 2025 06:50:29.376,1315.727
Satellite1-Satellite145,6 Jun 2025 07:26:34.207,6 Jun 2025 07:48:29.931,1315.724
Satellite1-Satellite145,6 Jun 2025 08:24:34.764,6 Jun 2025 08:46:30.487,1315.723
Satellite1-Satellite145,6 Jun 2025 09:22:35.319,6 Jun 2025 09:44:31.042,1315.723
Satellite1-Satellite145,6 Jun 2025 10:20:35.873,6 Jun 2025 10:42:31.597,1315.724
Satellite1-Satellite145,6 Jun 2025 11:18:36.428,6 Jun 2025 11:40:32.153,1315.725
Satellite1-Satellite145,6 Jun 2025 12:16:36.983,6 Jun 2025 12:38:32.708,1315.725
Satellite1-Satellite145,6 Jun 2025 13:14:37.538,6 Jun 2025 13:36:33.264,1315.726
Satellite1-Satellite145,6 Jun 2025 14:12:38.094,6 Jun 2025 14:34:33.819,1315.725
Satellite1-Satellite145,6 Jun 2025 15:10:38.649,6 Jun 2025 15:32:34.375,1315.726
Satellite1-Satellite145,6 Jun 2025 16:08:39.205,6 Jun 2025 16:30:34.930,1315.725
Satellite1-Satellite145,6 Jun 2025 17:06:39.760,6 Jun 2025 17:28:35.486,1315.726
Satellite1-Satellite145,6 Jun 2025 18:04:40.316,6 Jun 2025 18:26:36.041,1315.725
Satellite1-Satellite145,6 Jun 2025 19:02:40.871,6 Jun 2025 19:24:36.597,1315.726
Satellite1-Satellite145,6 Jun 2025 20:00:41.426,6 Jun 2025 20:22:37.152,1315.726
Satellite1-Satellite145,6 Jun 2025 20:58:41.982,6 Jun 2025 21:20:37.707,1315.725
Satellite1-Satellite145,6 Jun 2025 21:56:42.537,6 Jun 2025 22:18:38.263,1315.726
Satellite1-Satellite145,6 Jun 2025 22:54:43.093,6 Jun 2025 23:16:38.818,1315.725
Satellite1-Satellite145,6 Jun 2025 23:52:43.648,7 Jun 2025 00:14:39.374,1315.726
Satellite1-Satellite145,7 Jun 2025 00:50:44.204,7 Jun 2025 01:12:39.929,1315.725
Satellite1-Satellite145,7 Jun 2025 01:48:44.759,7 Jun 2025 02:10:40.485,1315.726
Satellite1-Satellite145,7 Jun 2025 02:46:45.315,7 Jun 2025 03:08:41.040,1315.725
Satellite1-Satellite145,7 Jun 2025 03:44:45.870,7 Jun 2025 04:00:00.000,914.13
Satellite1-Satellite146,6 Jun 2025 04:24:47.451,6 Jun 2025 04:42:53.171,1085.72
Satellite1-Satellite146,6 Jun 2025 05:22:48.007,6 Jun 2025 05:40:53.721,1085.714
Satellite1-Satellite146,6 Jun 2025 06:20:48.558,6 Jun 2025 06:38:54.277,1085.719
Satellite1-Satellite146,6 Jun 2025 07:18:49.113,6 Jun 2025 07:36:54.836,1085.723
Satellite1-Satellite146,6 Jun 2025 08:16:49.668,6 Jun 2025 08:34:55.392,1085.724
Satellite1-Satellite146,6 Jun 2025 09:14:50.224,6 Jun 2025 09:32:55.944,1085.72
Satellite1-Satellite146,6 Jun 2025 10:12:50.779,6 Jun 2025 10:30:56.503,1085.724
Satellite1-Satellite146,6 Jun 2025 11:10:51.335,6 Jun 2025 11:28:57.059,1085.724
Satellite1-Satellite146,6 Jun 2025 12:08:51.890,6 Jun 2025 12:26:57.614,1085.724
Satellite1-Satellite146,6 Jun 2025 13:06:52.448,6 Jun 2025 13:24:58.170,1085.722
Satellite1-Satellite146,6 Jun 2025 14:04:53.004,6 Jun 2025 14:22:58.725,1085.721
Satellite1-Satellite146,6 Jun 2025 15:02:53.561,6 Jun 2025 15:20:59.281,1085.72
Satellite1-Satellite146,6 Jun 2025 16:00:54.117,6 Jun 2025 16:18:59.831,1085.714
Satellite1-Satellite146,6 Jun 2025 16:58:54.668,6 Jun 2025 17:17:00.387,1085.719
Satellite1-Satellite146,6 Jun 2025 17:56:55.223,6 Jun 2025 18:15:00.946,1085.723
Satellite1-Satellite146,6 Jun 2025 18:54:55.779,6 Jun 2025 19:13:01.503,1085.724
